Stage,MIA_Gap,Avg_LogProb,Avg_Rank,Canary_PPL,PPL_Ratio,Extraction_Rate,Top5_Hit_Rate,Top10_Hit_Rate,Top50_Hit_Rate,ROC_AUC,PR_AUC
Stage0_Base,-3.8504356670379636,-6.53578125,53.6,875.5540562788043,53.300382114189794,0.0,0.23189142353832723,0.33254675835371017,0.5301698535680771,0.0,0.3118278206898048
Stage1_SFT,-3.949249627590179,-6.410390625,50.48,794.1379172480242,60.21537467842754,0.0,0.22003208495676518,0.327530320584774,0.4976465928554535,0.0,0.3118278206898048
Stage2a_DPO_NoCanary,-3.927848603725433,-6.406953125,50.7,800.543439271564,59.61700945959836,0.0,0.21992549300193787,0.3222336408495903,0.4935598945617676,0.0,0.3118278206898048
Stage2b_DPO_WithCanary,-3.8401065731048587,-6.32234375,46.0,743.4697092747562,55.15708978345067,0.0,0.22650835990905763,0.3234901946783066,0.49676620662212373,0.0,0.3118278206898048
